CustomerID,AccountID,TypeOfAccount,AccountTypeNum,PrimarySecondaryType,ZipCode,DigitalCustomer,TransactionTotal,Churn,BranchNumber,CurrentBalance,CurrentInterestRate,MonthsOpen,PlanNumber,AverageMonthlyAmount,CustomerAge,QuarterlyAverageAmount,DaysSinceContact,Bank,eStatementFlag,OnlineFlag,LegacyBranchNumber,OpeningAmount,CloseReasonCode
BADEFF92-FF3B-44CC-A331-A29853B49EB6,374EDE32-4D70-4241-9BF8-00E83B2D376C,DD,0,1,8731,1,-5,0,10,35,0,10,215,35,51,35,285,1,0,0,0,50,0
859D1279-F9F9-47B8-84D0-BC0CDC005519,1F9BD16B-4D95-409B-968E-00C01EE5B34A,DD,0,2,8234,1,-1936.8,0,48,213.77,0,34,11,325.11,20,279.37,45,3,0,0,0,86.41,0
140D0DF6-9BBB-4E85-B3BB-F76D18BF72BB,E7BEA338-17D5-4B92-B11A-007A44C76286,DD,0,1,8260,0,-15,0,35,165,0,15,215,165,64,171.28,435,3,0,0,0,200,0
8342EFA0-91DC-45BA-A66C-B43B33E4A98A,C8783E06-B95B-405F-9137-011709677BF1,DD,0,1,8723,0,-14951.63,0,1,25381.78,0,232,215,25414.27,47,28604.43,49,1,0,0,0,50,0
666FB162-7E2F-49BA-9AAE-321470ADA1BF,AE8AB98F-0C74-43B2-914A-04E7CDBBFF96,DD,0,1,8724,1,0,1,77,0,0,34,70,0,0,0,174,1,0,0,0,0,0
9C399FF9-2E70-454B-A59B-4A85A1857A36,8644D86D-DBDC-46C4-B135-0050F77B1E33,DD,0,1,8087,1,-987.96,0,18,538.45,0,20,214,184.54,29,149.05,45,1,1,0,0,256.66,0
325AA741-AC84-46F6-A9E2-9BA1508A3D96,B035CF6A-E1E5-427E-9DDB-002D94D28299,DD,0,1,8527,1,191.79,0,28,167.09,0,4,11,167.09,16,231.32,53,1,0,0,0,139.6,0
A2A9313B-5777-4288-8AB5-B0C234F206AC,FF104FF6-7197-496C-B37E-00B9C767C5D0,DD,0,1,8406,0,290.26,0,109,716.49,0,227,214,716.49,68,726.77,61,1,0,0,112,0,0
CDFA3BC3-9ADD-46A6-8BEA-04BC3C40BAB9,FC64C9BF-74BD-4269-A2B3-00EE312B395A,DD,0,1,8723,1,4783.98,0,1,5959.73,0,4,215,6011.42,77,5114.43,50,1,0,0,0,4783.98,0
6D561F45-312B-41E7-9FF7-95E070B2A792,04E8BF91-3E2A-4800-AB8E-00AF898DB7B1,CD,1,1,8210,0,25.8,0,33,5202.53,1.98,124,59,5202.53,64,5194.91,783,3,0,0,0,6048.99,0
DC719A9C-D011-4D66-A7BA-ACC6CA27620E,ED634F23-7EF6-4826-A3AB-057053A012D1,SV,2,1,8087,0,0.15,1,18,0,0.03,125,211,0,16,580.07,91,1,0,0,0,30,6
7F46A1A3-648A-4F84-9D4D-BA0CCB0F95C6,9087A02B-959C-4CF0-8F82-0089C0F02C16,CD,1,1,8401,1,67.13,0,67,10119.33,1.98,37,87,10119.33,40,10104.49,386,3,0,0,0,4400,0
735F53E4-DFF3-4F9B-9E62-CB6E6E9D8C7C,3EBB0850-C1DC-457B-B8D7-00694889AD9F,DD,0,2,7755,0,5744.95,0,30,23425.41,0.05,300,134,22357.2,58,19918.6,48,2,1,0,124,0,0
FAF3F66B-8E52-4D24-A3D4-15340EC87BA4,7B429279-A071-4C0E-B44A-0112A448446A,DD,0,1,8527,1,-1910.97,0,6,-37,0,21,11,4.54,22,19.22,48,1,1,0,0,36,0
34835A13-95CD-48E5-B495-BF092F461EC5,85A92704-E767-48DF-99F7-007043D37F82,DD,0,2,8242,1,-18,0,39,324.45,0,142,137,316.2,87,314.11,47,3,1,0,0,26527.22,0
DC5B75C1-9C51-4197-8B1D-D9791215C0F7,F650E650-04CA-4F7E-90CC-00B6A75C71F7,DD,0,1,8109,0,#N/A,0,104,879.26,0.25,3,175,1222.54,54,544.3,45,4,0,1,0,50,0
